claim_id,dependency_id,evidence_path,manifest_sha256,required_for_claim,verification_status
scoped_non_tabular_extension,cnn_lite,docs/evidence/non_tabular_mnist_cnn_lite_holdout_v1/manifest.json,sha256:de43a2e784d05f6901f87e9f5e7d4e499528dc65a14ed959e4d2665f088482d1,True,DIGEST_BOUND
training_model_seed_extension,training_seed,docs/evidence/independent_training_seed_extension_v1/manifest.json,sha256:adf0c9d9a265bcc8e5f695ba68df06675ffd7f67034a0aa59fc5e901ad04ac40,True,DIGEST_BOUND
security_attestation,security_attestation,docs/evidence/security_v2_static_attestation_formal_v2/manifest.json,sha256:949e452198106468cd509fb64679ab878a878bdd0e16a220a04f4fa773d2a877,True,DIGEST_BOUND
security_attestation,exact_estimator,docs/evidence/exact_security_estimator_v1/manifest.json,sha256:a445fce77883bf6ce9d5946733790e8f630e9cf277c3d76316e89f643687ccc4,True,DIGEST_BOUND
finite_scope_decision_integrity,direct_confirmatory,docs/evidence/direct_locked_audit_final_source_v1/manifest.json,sha256:f8222a19f32eb78ce6631ae848a7d217bc13851e8bea05f82d581454ff32ef0b,True,DIGEST_BOUND
finite_scope_decision_integrity,direct_development,docs/evidence/direct_locked_audit_seed0_development_v1/manifest.json,sha256:40e054b9b1317c5af1a2e177ea3068878ef9d89b9d3afae5aeffaabc2ab3b8b6,True,DIGEST_BOUND
finite_scope_decision_integrity,margin_interpretation,docs/evidence/margin_utilization_interpretation_v1/manifest.json,sha256:12626638b1abb5d57155345ee84e7e145dc13bfc947767f4484b1e18475cdce0,True,DIGEST_BOUND
finite_scope_decision_integrity,no_safe,docs/evidence/no_safe_controls_confirmatory_v1/manifest.json,sha256:878a92d00c928c7fed6dd4caa9ac0597f59e810f32fded3224670b6ee4c2220c,True,DIGEST_BOUND
natural_data_margin_literal_effect,direct_ablation,docs/evidence/direct_synthesis_ablation_v1/manifest.json,sha256:0f40f6041bf2a8999e125fad3d517c68bc47a80ba7bcb12900493ab629dc2e46,True,DIGEST_BOUND
natural_data_margin_literal_effect,policy_sensitivity,docs/evidence/policy_sensitivity_v1/manifest.json,sha256:37e2b50d5c20c23b10c14befe14392c46f0e47c937c4b3f9e1d4ebf2f1550f78,True,DIGEST_BOUND
global_optimum,bounded_oracle,docs/evidence/security_v2_bounded_oracle_v1/manifest.json,sha256:1d2910a80711928145fb9c7af6d31f4672921e52318c4df92021c31761bffe4d,True,DIGEST_BOUND
production_latency,paired_latency_admission,results/thesis_grade_protocol/paired_latency_claim_admission_v1/manifest.json,sha256:7b66b1063dd612e29b5f4299d5567ffa72ad91199200608cef3f0b271a67fe50,True,DIGEST_BOUND
universal_runtime_security,security_attestation,docs/evidence/security_v2_static_attestation_formal_v2/manifest.json,sha256:949e452198106468cd509fb64679ab878a878bdd0e16a220a04f4fa773d2a877,True,DIGEST_BOUND
universal_runtime_security,exact_estimator,docs/evidence/exact_security_estimator_v1/manifest.json,sha256:a445fce77883bf6ce9d5946733790e8f630e9cf277c3d76316e89f643687ccc4,True,DIGEST_BOUND
