role,workload_id,dataset_id,model_type,candidate_id,path,literal_signature,security_admission,graph_contract_supported,primitive_bounds_complete,proof_eligible,observed_vs_bound_audit,analytical_claim_state,block_reasons,selection_sha256
confirmatory_seeds1_4,split_seed_2/banknote/linear_poly3,banknote,linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_61531b023e5c,rescale,sha256:f2d4744dadb69cbde1b3ac77f095d7a22a176d692d43145710e785fcf8649547,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:fd236050e98927a175f640cb8e78b982a91cbc9187555ca00d1d45fda8b6e1e7
confirmatory_seeds1_4,split_seed_2/banknote/mlp_square_linear_score,banknote,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_ae85dc003156,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:cee06c18e43c006ae96063e69d556031fa67b85da53dc94a6e6d968fc9a72987
confirmatory_seeds1_4,split_seed_2/digits_binary/linear_poly3,digits_binary,linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_0cfaae7dc904,rescale,sha256:f2d4744dadb69cbde1b3ac77f095d7a22a176d692d43145710e785fcf8649547,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:cd857fc4883955856a339ffad8df1af671b8e4f249697fd0de2411eacb4ac0f0
confirmatory_seeds1_4,split_seed_2/digits_binary/mlp_square_linear_score,digits_binary,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_6daa0c572089,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:2a7e9f7bec6d9618ef597887090738604d248d57a24df1ee8f7c643b321d390c
confirmatory_seeds1_4,split_seed_2/iris_binary/linear_poly3,iris_binary,linear_poly3,synth_analysis_minimum_rescale_N13_Q7_S20_c4b82febb405,rescale,sha256:36379918ed7432772f482cdcb7b97ebef72711f96e2dad7d3e068423aa53008a,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:61dbeddb3e0a40654dc29b866394ae36b1906fdae69a310434f5e4e941647f4f
confirmatory_seeds1_4,split_seed_2/iris_binary/mlp_square_linear_score,iris_binary,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_dc1a3cbfb69d,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:90b29272a172773165a33cf71e98cd9325fb34219226b5b1a8b16c8c450c6649
confirmatory_seeds1_4,split_seed_2/mnist_pool16/linear_poly3,mnist_pool16,linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_be96916cb331,rescale,sha256:f2d4744dadb69cbde1b3ac77f095d7a22a176d692d43145710e785fcf8649547,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:87d29fb70c243f038c521ce108467f99fc51ca0b6d995ea84c4c5430b5dc91da
confirmatory_seeds1_4,split_seed_2/mnist_pool16/mlp_square_linear_score,mnist_pool16,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_88d5d5e14224,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:fc431ea96f52806e30fa6e90f5c85e985f578d1c8390a71fdc99c03c94f75b21
confirmatory_seeds1_4,split_seed_2/wdbc/linear_poly3,wdbc,linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_5a043e5c51af,rescale,sha256:f2d4744dadb69cbde1b3ac77f095d7a22a176d692d43145710e785fcf8649547,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:cc1db08a326a8b4109040cade2549ecd2337e838e67a31b19534760efd6a448b
confirmatory_seeds1_4,split_seed_2/wdbc/mlp_square_linear_score,wdbc,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_67109d0703c5,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:1cc52fe24ada36e91d51156dabbe1de3baf65b00bf90198d7abf8b3700eee912
confirmatory_seeds1_4,split_seed_3/banknote/linear_poly3,banknote,linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_56aff076a560,rescale,sha256:f2d4744dadb69cbde1b3ac77f095d7a22a176d692d43145710e785fcf8649547,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:4ffa3371fc37e65366c003acde1af04a822819907785dfd01ef96aceb02ef6ae
confirmatory_seeds1_4,split_seed_3/banknote/mlp_square_linear_score,banknote,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_2c2da9a3eae1,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:c5387a66f6c625807ab64bcc1834c94bb24433366941314535fdbce16f7004c8
confirmatory_seeds1_4,split_seed_3/digits_binary/linear_poly3,digits_binary,linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_9887de80bbf2,rescale,sha256:f2d4744dadb69cbde1b3ac77f095d7a22a176d692d43145710e785fcf8649547,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:92d4e2ea8defc35cda5fb5e2222e98496d927c27fb4768b2cf14cbd202c684bd
confirmatory_seeds1_4,split_seed_3/digits_binary/mlp_square_linear_score,digits_binary,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_2195a085d6b4,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:ac8f735b3ffbaf2f13f370f5b61e0a1fe8fc23308b4a62d6b1b6deb925e55d7d
confirmatory_seeds1_4,split_seed_3/iris_binary/linear_poly3,iris_binary,linear_poly3,synth_analysis_minimum_rescale_N13_Q7_S20_03498e744ec6,rescale,sha256:36379918ed7432772f482cdcb7b97ebef72711f96e2dad7d3e068423aa53008a,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:0462d4f659ef1a70d91ddf4106b275c97db4543deca18fc6bfe9f05dc4d4c9a2
confirmatory_seeds1_4,split_seed_3/iris_binary/mlp_square_linear_score,iris_binary,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_207988c02d8a,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:2939ed146679a011490b8140a9094ba37e36dfa1de4a2d9112119806d9a922e9
confirmatory_seeds1_4,split_seed_3/mnist_pool16/linear_poly3,mnist_pool16,linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_c0a75243c434,rescale,sha256:f2d4744dadb69cbde1b3ac77f095d7a22a176d692d43145710e785fcf8649547,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:2a8a35172b64d6820c784e5de95eef603f75b7d014860641e9b6f28381d756fb
confirmatory_seeds1_4,split_seed_3/mnist_pool16/mlp_square_linear_score,mnist_pool16,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_615f05f131da,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:cc76f240f2509827a2e02469b457123fe50b9c2c9e736a00c13f4162e3fc979b
confirmatory_seeds1_4,split_seed_3/wdbc/linear_poly3,wdbc,linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_862b7b7caaa4,rescale,sha256:f2d4744dadb69cbde1b3ac77f095d7a22a176d692d43145710e785fcf8649547,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:366063d6120517601eac444c2ea6889e1352674b71f720e02379583015583a90
confirmatory_seeds1_4,split_seed_3/wdbc/mlp_square_linear_score,wdbc,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_452d20eed652,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:df709dd1fc2e327c42f7bac52caf560ca49638468b68ee2dd23cd6458112ab94
confirmatory_seeds1_4,split_seed_4/banknote/linear_poly3,banknote,linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_e80473fbb570,rescale,sha256:f2d4744dadb69cbde1b3ac77f095d7a22a176d692d43145710e785fcf8649547,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:0dce32195d9a35a4d36465dc63e10cb992109570f96ac57f0185d7c8c3ca85f2
confirmatory_seeds1_4,split_seed_4/banknote/mlp_square_linear_score,banknote,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_0bd8533b1127,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:fcba6313d347236e73dd7ed41d485c048b3996991f29d9ef52a2b8c0c8954908
confirmatory_seeds1_4,split_seed_4/digits_binary/linear_poly3,digits_binary,linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_6fa2713d3e0a,rescale,sha256:f2d4744dadb69cbde1b3ac77f095d7a22a176d692d43145710e785fcf8649547,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:7f03098064e505e2e7a8fdc3a35018e64409aa13929f956ffda93d8e1a2073ec
confirmatory_seeds1_4,split_seed_4/digits_binary/mlp_square_linear_score,digits_binary,mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_d7df5358bf41,rescale,sha256:ed4b627b7562ca17fda7f172438fe71a75d5edc7aec561bc87efd1f3b264523a,PASS,False,False,False,NOT_RUN_NO_BOUND,BLOCKED,MODEL_OPERATION_GRAPH_NOT_IMPLEMENTED_IN_ANALYTICAL_V2;NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:1057feb2649afc1a5900d161a13512f014c85e71fb324e5513367d460d1f5964
confirmatory_seeds1_4,split_seed_4/iris_binary/linear_poly3,iris_binary,linear_poly3,synth_analysis_minimum_rescale_N13_Q7_S20_157c7f3b52c3,rescale,sha256:36379918ed7432772f482cdcb7b97ebef72711f96e2dad7d3e068423aa53008a,PASS,True,False,False,NOT_RUN_NO_BOUND,BLOCKED,NO_SCOPED_ABSOLUTE_INPUT_ENCRYPTION_BOUND;NO_SCOPED_ABSOLUTE_PLAINTEXT_ENCODING_BOUND;NO_SCOPED_ABSOLUTE_MULTIPLY_RELINEARIZE_RESCALE_BOUND;OBSERVED_VS_BOUND_AUDIT_NOT_RUN,sha256:4943ec57a587f829b0d932dcb854a245a5f559a13ee5f7716ab2f474d597918b
