document,asset_type,number,title_caption,source_csv_json_evidence,generation_script,source_digest,row_count,statistical_unit,axes_legend_meanings,missing_value_representation,claim_ids_supported,placement,binding_status,caption_numbering_status,in_text_reference_before_appearance,orphan_status,visual_status,vector_status
journal_v10,table,5,동일 Lattigo 실행기의 exact graph 후보 결과,docs/manuscript_review_input/정보보호학회논문지_표05_동일_Lattigo_실행기의_exact_graph_후보_결과.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,1a2ae3d48d5bebc7de0f02ae438fecdeac2a610414bdb89f8689d79421ad3230,3,explicitly identified in table; repeats are not unique inputs,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,P1_DENSE_TEXT_REVIEW,EDITABLE_CSV_AND_XLSX_BOUND
journal_v10,table,6,통제된 주 실험의 선택 비용과 최종 검증,docs/manuscript_review_input/정보보호학회논문지_표06_통제된_주_실험의_선택_비용과_최종_검증.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,7a6f25937576d0c3f03cfa0e594c288acdefad8a96877b34a31d6bf3cc4f3b7a,8,explicitly identified in table; repeats are not unique inputs,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,P1_DENSE_TEXT_REVIEW,EDITABLE_CSV_AND_XLSX_BOUND
journal_v10,table,7,외부 numerical grid와 추가 강건성 결과,docs/manuscript_review_input/정보보호학회논문지_표07_외부_numerical_grid와_추가_강건성_결과.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,2d05a7c68771438efabed9b7f19cd6d065d364a5e828ea18588933f5bbf693ab,6,explicitly identified in table; repeats are not unique inputs,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,P1_DENSE_TEXT_REVIEW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,figure,1,작은 수치 오차가 threshold 판단을 바꾸는 예,docs/manuscript_review_input/석사학위논문_그림01_작은_수치_오차가_threshold_판단을_바꾸는_예_원본.png,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,4308b0c0f381c5c60655dc7d8f9405a174a64ca4cd287a5fef364550e3871e50,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,RASTER_SOURCE_BOUND
thesis_v10,figure,2,구성 생성기와 FlipGuard 결정 안정성 판정 계층,docs/manuscript_review_input/석사학위논문_그림02_구성_생성기와_FlipGuard_결정_안정성_판정_계층_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,c60d72f7a7f3abd7c24a81a34e2346748b72e81d47cd82a279a4e263af6db5ad,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,PASS_EXPLICIT_REFERENCE_BEFORE_CAPTION,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
thesis_v10,figure,3,FlipGuard 상세 프레임워크,docs/manuscript_review_input/석사학위논문_그림03_FlipGuard_상세_프레임워크_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,67d6efabd954662bb069ce79a193f039916d8eac0900236f5485d91e4c154e7b,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,PASS_EXPLICIT_REFERENCE_BEFORE_CAPTION,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
thesis_v10,figure,4,이진 threshold 및 다중 클래스 argmax 조건,docs/manuscript_review_input/석사학위논문_그림04_이진_threshold_및_다중_클래스_argmax_조건_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,9716de38ec2ef711bbe65ba35a80d44f478726c9322a983538da80df0314d201,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
thesis_v10,figure,5,선택과 설정 고정 최종 검증의 분리,docs/manuscript_review_input/석사학위논문_그림05_선택과_설정_고정_최종_검증의_분리_원본.png,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,fff72804ad4b8711f8a1de79e1ac23a7078bfe003b44e6d5fbd1f97026f66d5d,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,RASTER_SOURCE_BOUND
thesis_v10,figure,6,기존 autotuner와 FlipGuard의 역할 차이,docs/manuscript_review_input/석사학위논문_그림06_기존_autotuner와_FlipGuard의_역할_차이_원본.png,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,bf5fd92ca9c02914afe3300320a528dbe56acfc56f1bded376a3573ef42bd769,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,RASTER_SOURCE_BOUND
thesis_v10,figure,7,FlipGuard 전체 실행 흐름과 제한적 보정,docs/manuscript_review_input/석사학위논문_그림07_FlipGuard_전체_실행_흐름과_제한적_보정_원본.png,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,8008aedce7b0e896ae9c82a971a44e4b91e4578cd3a9e436cca04723c0090a3c,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,RASTER_SOURCE_BOUND
thesis_v10,figure,8,구현 패키지와 증거 흐름,docs/manuscript_review_input/석사학위논문_그림08_구현_패키지와_증거_흐름_원본.png,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,b09c0718e472edc1279ae98bdc777186ce30e909c27ad11e46edef0bd66e2825,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,RASTER_SOURCE_BOUND
thesis_v10,figure,9,평가 계층과 evidence 규모,docs/manuscript_review_input/석사학위논문_그림09_평가_계층과_evidence_규모_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,1e49d5db504209fa13118103ce682662944bfa82d1199f55afe6dac6bf86953b,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
thesis_v10,figure,10,학위논문 평가 프로토콜,docs/manuscript_review_input/석사학위논문_그림10_학위논문_평가_프로토콜_원본.png,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,798c2236102bb1fa108fa32f430c4e584bf4361bc005f97e074bf1f3be9e9536,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,PASS_EXPLICIT_REFERENCE_BEFORE_CAPTION,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,RASTER_SOURCE_BOUND
thesis_v10,figure,11,후보 실행 감소 결과,docs/manuscript_review_input/석사학위논문_그림11_후보_실행_감소_결과_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,c1d3ed4cf3c338dcae8f19b75cb1e08f7a973cd4668f42e1ff208c04d669e18a,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
thesis_v10,figure,12,통제 실험 paired latency,docs/manuscript_review_input/석사학위논문_그림12_통제_실험_paired_latency_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,d083c1f56a2ac92ea0c102b4b85000e5d84fcfa23aebb6e5ebea5f9a709a4858,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
thesis_v10,figure,13,설정 고정 최종 검증 결과,docs/manuscript_review_input/석사학위논문_그림13_설정_고정_최종_검증_결과_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,f430b868876d4ba5b4451da4f503107738a883f4dc04d18dc42f72be193de28c,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
thesis_v10,figure,14,NO SAFE control 결과,docs/manuscript_review_input/석사학위논문_그림14_NO_SAFE_control_결과_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,23642a11de15601b023114a8c2305f406f51a90186befeb2704b01bff878bc26,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
thesis_v10,figure,15,구조 확장 범위,docs/manuscript_review_input/석사학위논문_그림15_구조_확장_범위_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,f93ac2cfada6f72ae657517f71c9ab2eba7ba90183bceee910e4285f507837a2,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
thesis_v10,figure,16,margin-utilization rejection 예,docs/manuscript_review_input/석사학위논문_그림16_margin-utilization_rejection_예_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,51e7d3607124e58a9931c9e8b343289f7ddc78b5f624784d66c1ee026f362cb4,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
thesis_v10,figure,17,claim 범위 지도,docs/manuscript_review_input/석사학위논문_그림17_claim_범위_지도_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,82fad58f15aaa31aa77ad42e334fa83746badd21846cb792d721ef79729e3828,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
thesis_v10,figure,18,EVA scale별 오차와 판단 반전,docs/manuscript_review_input/석사학위논문_그림18_EVA_scale별_오차와_판단_반전_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,247a54a0fafcc009ff49c2760ae0744a077061358179014f1aeda4fa289c5c57,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
thesis_v10,figure,19,동일 Lattigo 실행기의 external candidate 비교,docs/manuscript_review_input/석사학위논문_그림19_동일_Lattigo_실행기의_external_candidate_비교_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,edce25577ba297e6631cfa4bb67cf6cc7904abdc0179159e8a87d5ae40f96dfc,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
thesis_v10,figure,20,CoreLab EVA ELASM scale-plan grid,docs/manuscript_review_input/석사학위논문_그림20_CoreLab_EVA_ELASM_scale-plan_grid_벡터편집원본.svg,IMPORTED_EDITABLE_ASSET; per-asset generator not recorded,09f9e1507abd160968834d764f6ba30ff5282706c1f192e0c8ef107db904230a,N/A,see caption and bound evidence; diagram for non-result figures,embedded in source asset; manual visual audit required,explicit BLOCKED/NOT_EVALUATED labels required; never zero,figure-specific claims in claim_sentence_traceability.csv,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_BROKEN_IMAGE,SVG_BOUND
thesis_v10,table,1,CKKS 실행 구성의 주요 요소와 영향,docs/manuscript_review_input/석사학위논문_표01_CKKS_실행_구성의_주요_요소와_영향.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,b8d84498841a2b1fdacf70a0fc9a966cad6715a4b4bffb6672a8414d191263ce,6,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,2,관련 시스템과 FlipGuard의 차이,docs/manuscript_review_input/석사학위논문_표02_관련_시스템과_FlipGuard의_차이.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,aefe15c56517e138e6f7f3c971a2705ac774a021b4e774261ba8364193bab44e,7,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,3,FlipGuard 설계 요구사항,docs/manuscript_review_input/석사학위논문_표03_FlipGuard_설계_요구사항.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,90cc7653304cb2b051aafc140ce9b1de00a49939e0dba2a79412f1c608f45a57,7,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,4,후보 상태와 의미,docs/manuscript_review_input/석사학위논문_표04_후보_상태와_의미.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,5480b67e8f2a1c97ee25b00ecde267ef874416a17600a16ccdc7c23a6ca9d07e,5,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,5,Workload contract 필드,docs/manuscript_review_input/석사학위논문_표05_Workload_contract_필드.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,1faacd6c40836234050ca3d536bc1a5042feb23b0fec6ef1e95cd6f487f410f6,6,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,PASS_EXPLICIT_REFERENCE_BEFORE_CAPTION,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,6,구현 환경,docs/manuscript_review_input/석사학위논문_표06_구현_환경.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,796848a7e38dcb1a1f4c7fbc5e9a393202e6b4a7018a4fe9426db3de27c00898,8,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
thesis_v10,table,7,저장소 package와 책임,docs/manuscript_review_input/석사학위논문_표07_저장소_package와_책임.csv,IMPORTED_EDITABLE_CSV; upstream evidence listed in number registry,4202db929c3477e456e1647c4f9e9df87c151580faf517102da76b0f9d0d23cf,8,definition/category row,N/A,textual BLOCKED/UNSUPPORTED/NOT_EVALUATED; never numeric zero,table-specific claims in authoritative_number_registry.json,main text,BOUND,PASS_SEQUENTIAL,MISSING_PRIOR_EXPLICIT_NUMBERED_REFERENCE,NOT_ORPHANED,PASS_NO_CLIPPING_OR_OVERFLOW,EDITABLE_CSV_AND_XLSX_BOUND
