document,section,paragraph_sentence,sentence_text,positive_technical_claim,claim_id,evidence_dependency,state,permitted_scope,required_citation,proposed_correction,lint_status
journal_v10,FRONT_MATTER,p7.s4,"For EVA-generated candidates, scale 20 caused 133 flips on 500 validation inputs, whereas scales 30 and 40 caused none; the preselected scale-30 candidate remained flip-free on 500 disjoint audit inputs.",NO,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,FRONT_MATTER,p8.s1,"Keywords: CKKS, homomorphic encryption, decision stability, configuration selection, encrypted inference",NO,finite_scope_decision_integrity,direct_confirmatory;direct_development;margin_interpretation;no_safe,PARTIALLY_SUPPORTED,declared finite validation and locked-audit artifacts,EVIDENCE_REGISTRY,,PASS
journal_v10,I. 서론,p11.s1,CKKS는 복호화하지 않은 실수·복소수 데이터에 대해 근사 산술을 수행할 수 있어 의료·금융·침입탐지와 같은 프라이버시 보존형 분석에 활용된다 [1].,NO,BACKGROUND,,BACKGROUND,Background/definition only,[1],,PASS
journal_v10,I. 서론,p11.s3,"기존 구성 생성기는 이러한 요소를 자동화하지만, 응용에서 실제로 사용하는 threshold 또는 argmax 판단이 유지되는지는 별도의 문제다.",YES,multiclass_argmax_proposition,docs/evidence/journal_multiclass_extension_v1/multiclass_contract.json;internal/certify/multiclass_decision_contract.go;internal/certify/multiclass_decision_contract_test.go,SUPPORTED,"finite logits with finite class-wise error bounds, strict inequalities, and no plaintext tie",EVIDENCE_REGISTRY,,PASS
journal_v10,I. 서론,p12.s1,"예를 들어 평문 score가 0.5001이고 threshold가 0.5인 경우 CKKS 결과가 0.4999라면 절대 오차는 0.0002에 불과하지만 대출 승인, 이상 탐지, 질병 위험 분류와 같은 이진 판단은 반대로 바뀐다.",NO,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,I. 서론,p12.s2,따라서 “오차가 작다”와 “최종 판단이 유지된다”를 구분해야 한다.,YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,I. 서론,p12.s3,"실제 배포에서는 빠른 후보를 만드는 일뿐 아니라, 그 후보가 선언된 입력 범위에서 판단을 바꾸지 않는지 확인하고 방어할 수 없는 경우 선택을 중단하는 절차가 필요하다.",YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,I. 서론,p13.s1,"CHET와 EVA는 계산 그래프를 분석해 FHE parameter와 실행 계획을 자동화했고 [2], [3], HECATE와 ELASM은 scale 관리와 error-latency trade-off를 다뤘다 [4], [5].",NO,hecate_measured_provider,,NOT_EVALUATED,V9 external comparison scope,[2];[3];[4];[5],,PASS
journal_v10,I. 서론,p13.s2,"HECO와 HEIR은 고수준 프로그램을 FHE backend로 내리고 [6], [10], DaCapo는 bootstrapping 위치를 자동화한다 [7].",NO,BACKGROUND,,BACKGROUND,Background/definition only,[6];[10];[7],,PASS
journal_v10,I. 서론,p13.s3,"이 연구들은 각자의 목적에 따라 유용한 후보를 생성하지만, 후보 출처와 최종 응용 판단 사이의 공통 적합성 판정은 명시적으로 분리할 필요가 있다.",YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,I. 서론,p14.s1,본 논문은 이 문제를 위해 FlipGuard를 제안한다.,YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,I. 서론,p14.s2,"FlipGuard는 모델·계산 그래프, 검증 데이터, 결정 규칙, 보안 기준과 후보 구성을 입력받아 실행·보안 적합성 및 결정 안정성을 검사한다.",YES,security_attestation;finite_scope_decision_integrity,security_attestation;exact_estimator;direct_confirmatory;direct_development;margin_interpretation;no_safe,PARTIALLY_SUPPORTED,"attested direct, catalog, reference, and latency-arm literals | declared finite validation and locked-audit artifacts",EVIDENCE_REGISTRY,,PASS
journal_v10,I. 서론,p14.s3,"통과한 후보가 여러 개이면 같은 측정 경계에서 가장 빠른 후보를 선택하고, 통과한 후보가 없으면 NO_SAFE를 반환한다.",YES,no_safe_behavior,no_safe,SUPPORTED,one-candidate budget control and declared two-candidate finite domain,EVIDENCE_REGISTRY,,PASS
journal_v10,I. 서론,p14.s4,직접 합성은 연구 전체가 아니라 후보 탐색 비용을 줄이기 위해 제공되는 내장 구성 생성기다.,YES,scoped_direct_synthesis,direct_confirmatory;direct_development;final_suite,SUPPORTED,"declared tabular, polynomial, Sobel, Harris, and scalar-replicated CNN-lite adapters",EVIDENCE_REGISTRY,,PASS
journal_v10,I. 서론,p15.s2,RQ1: 빠르거나 공격적인 CKKS 후보가 실제로 판단을 바꾸는가?,NO,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,I. 서론,p15.s3,RQ2: FlipGuard는 내부 후보와 외부 구성 생성기의 결과를 같은 기준으로 판정할 수 있는가?,YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,I. 서론,p15.s4,RQ3: 내장 직접 합성은 후보 실행 수를 줄이면서 선택 후 재조정 없는 최종 검증을 통과하는가?,YES,formal_trial_reduction;scoped_direct_synthesis,final_suite;bounded_oracle;direct_confirmatory;direct_development,SUPPORTED,"Security-V2-admitted 7 profiles x 2 paths over the declared instances | declared tabular, polynomial, Sobel, Harris, and scalar-replicated CNN-lite adapters",EVIDENCE_REGISTRY,,PASS
journal_v10,I. 서론,p16.s2,"첫째, 이진 threshold와 다중 클래스 argmax를 공통의 결정 안정성 조건으로 정의하고 후보 출처와 무관한 판정 계층을 구현했다.",YES,multiclass_argmax_proposition;finite_scope_decision_integrity,docs/evidence/journal_multiclass_extension_v1/multiclass_contract.json;internal/certify/multiclass_decision_contract.go;internal/certify/multiclass_decision_contract_test.go;direct_confirmatory;direct_development;margin_interpretation;no_safe,PARTIALLY_SUPPORTED,"finite logits with finite class-wise error bounds, strict inequalities, and no plaintext tie | declared finite validation and locked-audit artifacts",EVIDENCE_REGISTRY,,PASS
journal_v10,I. 서론,p16.s3,"둘째, 계산 그래프와 결정 여유에서 첫 후보를 직접 산출하고 실패 원인에 따라 제한적으로 보정하는 내장 합성기를 구현했다.",YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,I. 서론,p16.s4,"셋째, 구성 선택과 최종 평가를 분리하고, 설정 고정 최종 검증·NO_SAFE·provenance와 외부 EVA·HEIR·CoreLab 결과를 결합한 재현 가능한 평가 절차를 제시했다.",YES,no_safe_behavior;corelab_eva_elasm_numerical_grid,no_safe,PARTIALLY_SUPPORTED,one-candidate budget control and declared two-candidate finite domain | V9 external comparison scope,EVIDENCE_REGISTRY,,PASS
journal_v10,II. 배경 및 관련 연구,p17.s2,배경 및 관련 연구,NO,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,2.1 CKKS 실행 구성과 판단 반전,p18.s1,2.1 CKKS 실행 구성과 판단 반전,NO,finite_scope_decision_integrity,direct_confirmatory;direct_development;margin_interpretation;no_safe,PARTIALLY_SUPPORTED,declared finite validation and locked-audit artifacts,EVIDENCE_REGISTRY,,PASS
journal_v10,2.1 CKKS 실행 구성과 판단 반전,p19.s1,CKKS ciphertext는 scale을 가진 근사값을 표현하며 곱셈과 rescale 과정에서 modulus level을 소모한다 [1].,YES,BACKGROUND,,BACKGROUND,Background/definition only,[1],,PASS
journal_v10,2.1 CKKS 실행 구성과 판단 반전,p19.s3,"큰 ring과 긴 chain은 깊은 계산과 높은 정밀도를 지원하지만 key generation, memory와 latency를 증가시킨다.",YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,2.1 CKKS 실행 구성과 판단 반전,p20.s1,"평문 score f_plain(x), CKKS score f_ckks(x), threshold τ에 대해 결정 여유 m(x)와 절대 오차 e(x)를 다음과 같이 정의한다.",YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,2.1 CKKS 실행 구성과 판단 반전,p25.s1,e(x) = |f_ckks(x) - f_plain(x)|,NO,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,2.1 CKKS 실행 구성과 판단 반전,p27.s2,다중 클래스에서는 평문 1위 class c*와 각 class j의 logit gap이 두 logit의 오차 합보다 클 때 argmax가 유지된다.,NO,multiclass_argmax_proposition,docs/evidence/journal_multiclass_extension_v1/multiclass_contract.json;internal/certify/multiclass_decision_contract.go;internal/certify/multiclass_decision_contract_test.go,SUPPORTED,"finite logits with finite class-wise error bounds, strict inequalities, and no plaintext tie",EVIDENCE_REGISTRY,,PASS
journal_v10,2.1 CKKS 실행 구성과 판단 반전,p27.s3,"본 연구의 운용 기준 e(x) < ρ·m(x), ρ=0.5는 이론 정리가 아니라 margin의 절반만 사용하도록 한 보수적 오차 여유 정책이다.",YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,2.2 관련 시스템과 본 연구의 위치,p29.s1,"EVA는 graph에서 parameter와 rescale 계획을 생성하고 [3], HECATE는 scale/level 관리를 성능 최적화 문제로 확장했다 [4].",NO,hecate_measured_provider,,NOT_EVALUATED,V9 external comparison scope,[3];[4],,PASS
journal_v10,2.2 관련 시스템과 본 연구의 위치,p29.s2,ELASM은 output error와 latency를 함께 고려한다 [5].,YES,BACKGROUND,,BACKGROUND,Background/definition only,[5],,PASS
journal_v10,2.2 관련 시스템과 본 연구의 위치,p29.s3,"DaCapo는 깊은 프로그램에서 bootstrapping 위치를 정하며 [7], AutoFHE·LOHEN·SLOTHE는 CNN 구조, layer-wise configuration 및 비산술 함수 근사로 범위를 넓혔다 [9], [12], [13].",NO,BACKGROUND,,BACKGROUND,Background/definition only,[7];[9];[12];[13],,PASS
journal_v10,2.2 관련 시스템과 본 연구의 위치,p29.s4,HEIR은 OpenFHE와 Lattigo backend를 지원하는 범용 compiler다 [10].,NO,BACKGROUND,,BACKGROUND,Background/definition only,[10],,PASS
journal_v10,2.2 관련 시스템과 본 연구의 위치,p29.s6,"본 논문도 동일 실행 의미가 확보된 EVA·HEIR·CoreLab 결과는 측정하고, 최적화 단위나 runtime이 다른 연구는 관련연구로 구분한다.",YES,corelab_eva_elasm_numerical_grid,,PARTIALLY_SUPPORTED,V9 external comparison scope,EVIDENCE_REGISTRY,,PASS
journal_v10,2.2 관련 시스템과 본 연구의 위치,p30.s2,"기존 시스템이 configuration candidate를 생성하면 FlipGuard가 실행·보안·결정 안정성을 공통 기준으로 판정하고, 승인된 후보 중 가장 빠른 구성을 선택한다.",YES,finite_scope_decision_integrity,direct_confirmatory;direct_development;margin_interpretation;no_safe,PARTIALLY_SUPPORTED,declared finite validation and locked-audit artifacts,EVIDENCE_REGISTRY,,PASS
journal_v10,2.2 관련 시스템과 본 연구의 위치,p30.s3,"이 계층화는 HEIR가 direct보다 빠른 경우에도 외부 후보를 정당하게 선택할 수 있게 하며, direct 후보가 모호 입력에서 불안정하면 이를 제외할 수 있게 한다.",YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,2.2 관련 시스템과 본 연구의 위치,p43.s1,Security-V2 고정 후보군,NO,security_attestation,security_attestation;exact_estimator,PARTIALLY_SUPPORTED,"attested direct, catalog, reference, and latency-arm literals",EVIDENCE_REGISTRY,,PASS
journal_v10,2.2 관련 시스템과 본 연구의 위치,p45.s1,700개 후보,NO,formal_trial_reduction,final_suite;bounded_oracle,SUPPORTED,Security-V2-admitted 7 profiles x 2 paths over the declared instances,EVIDENCE_REGISTRY,,PASS
journal_v10,2.2 관련 시스템과 본 연구의 위치,p47.s1,EVA,NO,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,2.2 관련 시스템과 본 연구의 위치,p48.s1,CKKS parameter·scale 계획,NO,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,2.2 관련 시스템과 본 연구의 위치,p51.s1,CoreLab EVA/ELASM,NO,corelab_eva_elasm_numerical_grid,,PARTIALLY_SUPPORTED,V9 external comparison scope,EVIDENCE_REGISTRY,,PASS
journal_v10,2.2 관련 시스템과 본 연구의 위치,p57.s1,Lattigo/OpenFHE exact graph,NO,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,2.2 관련 시스템과 본 연구의 위치,p61.s1,70회 후보 실행,NO,formal_trial_reduction,final_suite;bounded_oracle,SUPPORTED,Security-V2-admitted 7 profiles x 2 paths over the declared instances,EVIDENCE_REGISTRY,,PASS
journal_v10,3.1 후보 집합과 선택 문제,p66.s1,"workload W에 대해 선언된 후보 집합 C(W)는 기본 설정, latency-only, Security-V2 고정 후보군, 외부 구성 생성기와 direct 후보를 포함한다.",YES,security_attestation,security_attestation;exact_estimator,PARTIALLY_SUPPORTED,"attested direct, catalog, reference, and latency-arm literals",EVIDENCE_REGISTRY,,PASS
journal_v10,3.1 후보 집합과 선택 문제,p66.s2,실행·보안 조건을 만족하고 validation에서 평문 판단을 유지한 후보 집합을 C_stable(W)로 정의한다.,YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,3.1 후보 집합과 선택 문제,p73.s1,C_stable(W)가 비면 NO_SAFE를 반환한다.,YES,no_safe_behavior,no_safe,SUPPORTED,one-candidate budget control and declared two-candidate finite domain,EVIDENCE_REGISTRY,,PASS
journal_v10,3.1 후보 집합과 선택 문제,p73.s2,식 (4)의 최소값은 선언된 후보 집합과 동일 측정 경계 안에서만 성립하며 전체 CKKS 구성 공간의 전역 최적값이 아니다.,YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,3.2 설계 요구사항,p75.s1,학위논문형 구현·안전성 분석의 장점을 반영하여 FlipGuard가 만족해야 할 요구사항을 먼저 고정했다.,YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,3.2 설계 요구사항,p83.s1,내부·EVA·HEIR 후보를 같은 상태 체계로 기록,NO,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,3.2 설계 요구사항,p85.s1,threshold/argmax 결정 보존,NO,multiclass_argmax_proposition,docs/evidence/journal_multiclass_extension_v1/multiclass_contract.json;internal/certify/multiclass_decision_contract.go;internal/certify/multiclass_decision_contract_test.go,SUPPORTED,"finite logits with finite class-wise error bounds, strict inequalities, and no plaintext tie",EVIDENCE_REGISTRY,,PASS
journal_v10,3.2 설계 요구사항,p89.s1,NO_SAFE control,NO,no_safe_behavior,no_safe,SUPPORTED,one-candidate budget control and declared two-candidate finite domain,EVIDENCE_REGISTRY,,PASS
journal_v10,3.2 설계 요구사항,p92.s1,"disjoint locked audit, retuning 0",NO,primary_no_retuning_locked_audit,direct_confirmatory;direct_development,SUPPORTED,10 dataset-model workloads and five deterministic repeated partitions,EVIDENCE_REGISTRY,,PASS
journal_v10,3.2 설계 요구사항,p95.s1,exact Q/P와 Security-V2 admission,NO,security_attestation,security_attestation;exact_estimator,PARTIALLY_SUPPORTED,"attested direct, catalog, reference, and latency-arm literals",EVIDENCE_REGISTRY,,PASS
journal_v10,3.2 설계 요구사항,p103.s3,Binary threshold and multiclass argmax decision-stability conditions.,NO,multiclass_argmax_proposition,docs/evidence/journal_multiclass_extension_v1/multiclass_contract.json;internal/certify/multiclass_decision_contract.go;internal/certify/multiclass_decision_contract_test.go,SUPPORTED,"finite logits with finite class-wise error bounds, strict inequalities, and no plaintext tie",EVIDENCE_REGISTRY,,PASS
journal_v10,4.1 처리 흐름과 상태,p107.s1,"FlipGuard는 (1) graph·model·input·candidate identity 결속, (2) 실행 및 보안 적합성 검사, (3) 암호화 validation, (4) SAFE·REJECTED·FAILED 분류, (5) 적합 후보의 동일 조건 latency 측정, (6) 최저 지연 후보 고정, (7) disjoint audit 순으로 동작한다.",YES,security_attestation,security_attestation;exact_estimator,PARTIALLY_SUPPORTED,"attested direct, catalog, reference, and latency-arm literals",EVIDENCE_REGISTRY,,PASS
journal_v10,4.1 처리 흐름과 상태,p108.s1,SAFE는 V_cert에서 판단 반전과 운용 오차 기준 위반이 없고 보안 조건을 통과한 상태다.,YES,finite_scope_decision_integrity,direct_confirmatory;direct_development;margin_interpretation;no_safe,PARTIALLY_SUPPORTED,declared finite validation and locked-audit artifacts,EVIDENCE_REGISTRY,,PASS
journal_v10,4.1 처리 흐름과 상태,p108.s2,"REJECTED는 실행은 성공했으나 flip 또는 오차 여유 초과가 관측된 경우이며, FAILED는 parameter materialization·key generation·evaluation·provenance가 완료되지 않은 경우다.",NO,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,4.1 처리 흐름과 상태,p108.s3,V_amb는 결정 경계가 너무 가까워 반복 randomness에 따라 결과가 달라질 수 있는 모호 입력이다.,NO,direct_repeat_flip_classification,,SUPPORTED,V9 external comparison scope,EVIDENCE_REGISTRY,,PASS
journal_v10,4.2 내장 실행 구성 직접 합성,p109.s1,4.2 내장 실행 구성 직접 합성,NO,scoped_direct_synthesis,direct_confirmatory;direct_development;final_suite,SUPPORTED,"declared tabular, polynomial, Sobel, Harris, and scalar-replicated CNN-lite adapters",EVIDENCE_REGISTRY,,PASS
journal_v10,4.2 내장 실행 구성 직접 합성,p110.s2,"출력 오차 예산을 sensitivity로 나누어 필요한 precision bits를 계산하고, guard와 minimum floor를 반영하여 scale, Q/P chain과 LogN을 산출한다.",YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,4.2 내장 실행 구성 직접 합성,p110.s4,"첫 후보가 수치 오차로 REJECTED이면 scale을 4 bit 증가시키고, level 부족이면 Q prime을 하나 추가한다.",YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,4.2 내장 실행 구성 직접 합성,p110.s5,전체 암호화 후보 실행은 workload당 최대 4회이며 첫 SAFE에서 종료한다.,YES,formal_trial_reduction,final_suite;bounded_oracle,SUPPORTED,Security-V2-admitted 7 profiles x 2 paths over the declared instances,EVIDENCE_REGISTRY,,PASS
journal_v10,4.3 선택 후 재조정 없는 최종 검증,p112.s1,validation에서 선택된 candidate literal과 model·graph·input·policy digest를 고정한다.,NO,scoped_direct_synthesis,direct_confirmatory;direct_development;final_suite,SUPPORTED,"declared tabular, polynomial, Sobel, Harris, and scalar-replicated CNN-lite adapters",EVIDENCE_REGISTRY,,PASS
journal_v10,4.3 선택 후 재조정 없는 최종 검증,p112.s2,"Audit에서는 후보 생성, 보정, threshold 변경을 호출하지 않는다.",YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,4.3 선택 후 재조정 없는 최종 검증,p112.s3,Audit 결과를 보고 configuration을 변경하면 해당 실행은 최종 평가가 아니라 새로운 개발 실험으로 분류한다.,YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,4.3 선택 후 재조정 없는 최종 검증,p123.s1,SAFE가 없으면 NO_SAFE 반환,NO,no_safe_behavior,no_safe,SUPPORTED,one-candidate budget control and declared two-candidate finite domain,EVIDENCE_REGISTRY,,PASS
journal_v10,4.3 선택 후 재조정 없는 최종 검증,p127.s1,SAFE 후보의 동일 경계 latency 측정·고정,YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,5.1 평가 계층과 비교군,p135.s3,Tier 2는 MNIST MLP-100·LeNet-5-small 및 외부 EVA·HEIR다.,NO,mlp100_finite_validation_audit;lenet5_small_finite_validation_audit,docs/evidence/journal_multiclass_extension_results_v1/summary.json;datasets/journal_multiclass_extension_v1/mnist/input_split_manifest.json,SUPPORTED,"one frozen MNIST MLP-100 model, 1,000 predeclared encrypted test images, scalar-replicated execution | one frozen MNIST LeNet-5-small model, 1,000 predeclared encrypted test images, declared scalar-replicated adapter",EVIDENCE_REGISTRY,,PASS
journal_v10,5.1 평가 계층과 비교군,p135.s4,"Tier 3은 CoreLab plan grid, deeper polynomial, Sobel, Harris, CNN-lite와 독립 training seed다.",NO,scoped_non_tabular_extension;training_model_seed_extension;corelab_eva_elasm_numerical_grid,sobel;harris;cnn_lite;training_seed,PARTIALLY_SUPPORTED,BSDS500 Sobel/Harris patches and MNIST CNN-lite scalar-replicated adapter | 3 datasets x 3 predeclared independent training/data seeds | V9 external comparison scope,EVIDENCE_REGISTRY,,PASS
journal_v10,5.2 지표와 통계,p137.s1,"정확성 지표는 판단 반전, 오차 기준 위반, V_cert/V_amb, SAFE·REJECTED·NO_SAFE다.",NO,no_safe_behavior;direct_repeat_flip_classification;finite_scope_decision_integrity,no_safe;direct_confirmatory;direct_development;margin_interpretation,PARTIALLY_SUPPORTED,one-candidate budget control and declared two-candidate finite domain | V9 external comparison scope | declared finite validation and locked-audit artifacts,EVIDENCE_REGISTRY,,PASS
journal_v10,5.2 지표와 통계,p137.s2,"효율 지표는 후보 실행 수, fresh-key run, evaluation-only 및 total latency다.",NO,formal_trial_reduction,final_suite;bounded_oracle,SUPPORTED,Security-V2-admitted 7 profiles x 2 paths over the declared instances,EVIDENCE_REGISTRY,,PASS
journal_v10,5.2 지표와 통계,p137.s3,"통제 실험 latency는 동일 host에서 balanced cyclic/reverse order, warm-up 1회, 측정 6회, outlier 제거 없이 수행했다.",YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,5.2 지표와 통계,p137.s4,비율은 workload 또는 input cluster bootstrap 95% 신뢰구간으로 보고했다.,YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,5.2 지표와 통계,p140.s3,Evaluation hierarchy and evidence scale.,NO,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,50 instances,p149.s1,선택 비용·audit·paired latency,YES,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,50 instances,p150.s1,표준 다중 클래스,NO,multiclass_argmax_proposition,docs/evidence/journal_multiclass_extension_v1/multiclass_contract.json;internal/certify/multiclass_decision_contract.go;internal/certify/multiclass_decision_contract_test.go,SUPPORTED,"finite logits with finite class-wise error bounds, strict inequalities, and no plaintext tie",EVIDENCE_REGISTRY,,PASS
journal_v10,50 instances,p151.s1,"MLP-100, LeNet-5-small",NO,mlp100_finite_validation_audit;lenet5_small_finite_validation_audit,docs/evidence/journal_multiclass_extension_results_v1/summary.json;datasets/journal_multiclass_extension_v1/mnist/input_split_manifest.json,SUPPORTED,"one frozen MNIST MLP-100 model, 1,000 predeclared encrypted test images, scalar-replicated execution | one frozen MNIST LeNet-5-small model, 1,000 predeclared encrypted test images, declared scalar-replicated adapter",EVIDENCE_REGISTRY,,PASS
journal_v10,500 validation+500 audit/model,p153.s1,argmax 안정성,NO,multiclass_argmax_proposition,docs/evidence/journal_multiclass_extension_v1/multiclass_contract.json;internal/certify/multiclass_decision_contract.go;internal/certify/multiclass_decision_contract_test.go,SUPPORTED,"finite logits with finite class-wise error bounds, strict inequalities, and no plaintext tie",EVIDENCE_REGISTRY,,PASS
journal_v10,500 validation+500 audit/model,p154.s1,외부 EVA,NO,BACKGROUND,,BACKGROUND,Background/definition only,YES,,PASS
journal_v10,500 validation+500 audit/model,p162.s1,CoreLab,NO,corelab_eva_elasm_numerical_grid,,PARTIALLY_SUPPORTED,V9 external comparison scope,EVIDENCE_REGISTRY,,PASS
journal_v10,500 validation+500 audit/model,p167.s1,poly/Sobel/Harris/CNN-lite,NO,scoped_non_tabular_extension,sobel;harris;cnn_lite,PARTIALLY_SUPPORTED,BSDS500 Sobel/Harris patches and MNIST CNN-lite scalar-replicated adapter,EVIDENCE_REGISTRY,,PASS
