system,publication,optimization_target,parameter_selection,scale_management,bootstrapping,packing_layout,model_adaptation,numerical_error,final_decision,no_safe,locked_audit,security_admission
HALO,PEER_REVIEWED,bootstrap placement across flat and nested loops,OUT_OF_SCOPE,FULL,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
ReSBM,PEER_REVIEWED,region-based scale and minimum-level bootstrap management,FULL,FULL,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
Orbit,PEER_REVIEWED,joint ILP rescale and bootstrap placement,FULL,FULL,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
AutoFHE,PEER_REVIEWED,activation degree; bootstrap placement; accuracy-latency trade-off,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL,OUT_OF_SCOPE,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
Orion,PEER_REVIEWED,packed neural-network compilation; rotations; bootstrapping,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL,FULL,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
LOHEN,PEER_REVIEWED,layer-wise ciphertext configuration and switching for performance/accuracy,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL,FULL,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
SLOTHE,PEER_REVIEWED,lazy polynomial approximation placement,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL,OUT_OF_SCOPE,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
Application-Aware Approximate HE,PEER_REVIEWED,application-aware correctness and security configuration,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL
FHE-Agent,PREPRINT,"LLM-guided parameter pruning, calibration, and repair",FULL,OUT_OF_SCOPE,FULL,FULL,FULL,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL
FHECrafter,WORKSHOP_PEER_REVIEWED,multi-agent encrypted tensor program generation,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE
FlipGuard,TECHNICAL_REPORT,fastest decision-stable candidate within a declared candidate set,FULL,FULL,OUT_OF_SCOPE,OUT_OF_SCOPE,OUT_OF_SCOPE,FULL,FULL,FULL,FULL,FULL
