arm,dataset_id,model_id,outcome,candidate_id,trials,repairs,repair_causes,security_admission,validation_status,validation_flips,validation_violations,validation_max_error,validation_max_budget_usage,key_runs,encrypted_sample_evaluations,mean_total_ms,audit_status,audit_flips,audit_violations,audit_key_runs,audit_encrypted_sample_evaluations,audit_retuning
graph_only_fixed_tolerance,mnist_pool16,linear_poly3,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_498f0d45e397,2,1,repair_scale_1,PASS,SAFE,0,0,0.006229341675116018,0.24752566466544842,6,1494,222.86749850602413,LOCKED_AUDIT_PASS,0,0,3,753,0
latency_only_no_certification,mnist_pool16,linear_poly3,SELECTED_WITHOUT_CERTIFICATION,short_chain_3__baseline_non_rescale,14,0,,PASS,REJECTED,107,241,0.6411760243,,14,3486,211.3300142048,NOT_EVALUATED,,,,,
one_shot_direct,mnist_pool16,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_2cd04f49f17a,1,0,,PASS,SAFE,0,0,0.00011084491045054712,0.1702614688384847,3,747,228.129924334672,LOCKED_AUDIT_PASS,0,0,3,753,0
full_flipguard,mnist_pool16,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_2cd04f49f17a,1,0,,PASS,SAFE,0,0,0.00011084491045054712,0.1702614688384847,3,747,228.129924334672,LOCKED_AUDIT_PASS,0,0,3,753,0
graph_only_fixed_tolerance,mnist_pool16,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_d3adc0b7723e,1,0,,PASS,SAFE,0,0,0.00023799410863523107,0.10033928707221096,3,747,255.90881201606427,LOCKED_AUDIT_PASS,0,0,3,753,0
latency_only_no_certification,mnist_pool16,mlp_square_linear_score,SELECTED_WITHOUT_CERTIFICATION,short_chain_3__rescale_aware,14,0,,PASS,REJECTED,121,246,0.6241065408,,14,3486,218.0188712249,NOT_EVALUATED,,,,,
one_shot_direct,wdbc,linear_poly3,NO_SAFE,,1,0,,PASS,REJECTED,16,56,0.017055848366015702,19.54385189127706,3,255,116.55884983921568,NOT_APPLICABLE_NO_SAFE,,,,,
full_flipguard,wdbc,linear_poly3,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_4e105abcba07,2,1,repair_scale_1,PASS,SAFE,0,0,0.013506132696719464,0.19096165328937245,6,510,109.67346545882351,LOCKED_AUDIT_PASS,0,0,3,258,0
graph_only_fixed_tolerance,wdbc,linear_poly3,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_2892182d1672,2,1,repair_scale_1,PASS,SAFE,0,0,0.01349644412455453,0.20005094933654488,6,510,117.35054373725488,LOCKED_AUDIT_PASS,0,0,3,258,0
latency_only_no_certification,wdbc,linear_poly3,SELECTED_WITHOUT_CERTIFICATION,short_chain_3__baseline_non_rescale,14,0,,PASS,REJECTED,54,84,0.585054703,,14,1190,139.9071384,NOT_EVALUATED,,,,,
one_shot_direct,wdbc,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_8f3d79a39ca0,1,0,,PASS,SAFE,0,0,0.00020915530100423796,0.07934523934029708,3,255,145.36853512156856,LOCKED_AUDIT_PASS,0,0,3,258,0
full_flipguard,wdbc,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_8f3d79a39ca0,1,0,,PASS,SAFE,0,0,0.00020915530100423796,0.07934523934029708,3,255,145.36853512156856,LOCKED_AUDIT_PASS,0,0,3,258,0
graph_only_fixed_tolerance,wdbc,mlp_square_linear_score,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_6d2e68830e17,1,0,,PASS,SAFE,0,0,0.00017303816926450555,0.03865804141789129,3,255,157.53540601176465,LOCKED_AUDIT_PASS,0,0,3,258,0
latency_only_no_certification,wdbc,mlp_square_linear_score,SELECTED_WITHOUT_CERTIFICATION,short_chain_3__rescale_aware,14,0,,PASS,REJECTED,53,83,0.5182910782,,14,1190,133.7301593059,NOT_EVALUATED,,,,,
