provider,artifact_revision,workload,runtime,objective,build_status,compile_time,tuning_time,plans_generated,plans_executed,selected_plan,parameter_configuration,key_generation,evaluation_latency,total_latency,rms_error,max_error,output_values,decision_flips,security_state,execution_failure,latency_scope,evidence
HALO,post-publication-main@aedca73dac27b86044721781b9fca8d12e665876,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_RUN,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,NOT_APPLICABLE,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,NOT_APPLICABLE_NO_BOOTSTRAP,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
ReSBM,post-artifact-main@929e9b621f11bebbaa9ec1e215f4a52e3d07109b,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_RUN,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,NOT_APPLICABLE,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,NOT_APPLICABLE_NO_BOOTSTRAP,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
Orbit,NR,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_AVAILABLE,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,REPRODUCTION_BLOCKED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,ARTIFACT_UNAVAILABLE_AND_NOT_APPLICABLE_NO_BOOTSTRAP,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
AutoFHE,main@a43af0453e5237e2ff4a5630a10ece1a062b9d88,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,Ubuntu container; repository-pinned CNN source; SEAL 3.6.6 dependency,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,PASS,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,NOT_RUN_NO_EXACT_WORKLOAD_MAPPING,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
Orion,main@be8a827350a147d610fe3bb998b5bea8de814ff8,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,Official repository Lattigo build helper; host Go toolchain,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,PASS,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,NOT_RUN_NO_EXACT_WORKLOAD_MAPPING,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
LOHEN,NR,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,Official USENIX paper and supplemental-link audit,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,REPRODUCTION_BLOCKED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,ARTIFACT_UNAVAILABLE,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
SLOTHE,main@33ccff3519c9df1dc255420e8a1bfe4da501b1f0,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,Official source LLVM passes/plugins container build,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,PASS,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,NOT_RUN_NO_EXACT_WORKLOAD_MAPPING,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
Application-Aware Approximate HE,NR,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_APPLICABLE,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,NOT_COMPARABLE,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,POSITIONING_ONLY_NOT_PERFORMANCE_TUNER,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
FHE-Agent,NR,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_AVAILABLE,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,REPRODUCTION_BLOCKED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,ARTIFACT_UNAVAILABLE_PREPRINT,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
FHECrafter,NR,NO_EXACT_FROZEN_WORKLOAD_EXECUTION,NOT_AVAILABLE,OFFICIAL_ARTIFACT_BUILD_OR_AVAILABILITY_AUDIT,REPRODUCTION_BLOCKED,NOT_SEPARATELY_RECORDED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED_NO_EXECUTED_CANDIDATE,ARTIFACT_UNAVAILABLE,NOT_EVALUATED,docs/evidence/external_autotuner_comparison_v2/build_matrix.csv
